example_id                                                                      | status  | run_time        |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:3:2:2:3]   | passed  | 0.04106 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:1:1]     | passed  | 0.02922 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:2:1]     | passed  | 0.02699 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:3:1:1]   | passed  | 0.07545 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:3:1:2]   | passed  | 0.07516 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:3:1:3]   | passed  | 0.08008 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:4:1:1]   | passed  | 0.06092 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:4:1:2]   | passed  | 0.05962 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:4:4:1:3]   | passed  | 0.05959 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:1:1:1]   | passed  | 0.07848 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:1:1:2]   | passed  | 0.07661 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:1:1:3]   | passed  | 0.07205 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:1:1]   | passed  | 0.05792 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:1:2]   | passed  | 0.06075 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:1:3]   | passed  | 0.06498 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:2:1]   | passed  | 0.06046 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:5:2:3:1]   | passed  | 0.06212 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:1:1]     | passed  | 0.02672 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:2:1]     | passed  | 0.02709 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:3:1:1]   | passed  | 0.0776 seconds  |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:4:1:1]   | passed  | 0.05964 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:4:1:2]   | passed  | 0.0686 seconds  |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:6:4:1:3]   | passed  | 0.06401 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:7:1:1]     | passed  | 0.74153 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:7:1:2]     | passed  | 0.03573 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:7:2:1]     | passed  | 0.02496 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:7:2:2]     | passed  | 0.02857 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:7:2:3]     | passed  | 0.02517 seconds |
./spec/models/spree/permission_sets/supplier/admin_ability_spec.rb[1:7:2:4]     | passed  | 0.0246 seconds  |
./spec/models/spree/product_decorator_spec.rb[1:1:1:1]                          | passed  | 0.0617 seconds  |
./spec/models/spree/product_decorator_spec.rb[1:1:2:1]                          | passed  | 0.05968 seconds |
./spec/models/spree/product_decorator_spec.rb[1:2:1]                            | passed  | 0.09637 seconds |
./spec/models/spree/product_decorator_spec.rb[1:3:1]                            | passed  | 0.09448 seconds |
./spec/models/spree/product_decorator_spec.rb[1:4:1]                            | passed  | 0.06242 seconds |
./spec/models/spree/shipment_decorator_spec.rb[1:1:1]                           | passed  | 0.1185 seconds  |
./spec/models/spree/shipment_decorator_spec.rb[1:2:1]                           | pending | 0.00181 seconds |
./spec/models/spree/shipment_decorator_spec.rb[1:2:2]                           | pending | 0 seconds       |
./spec/models/spree/shipment_decorator_spec.rb[1:3:1]                           | passed  | 0.01457 seconds |
./spec/models/spree/stock/splitter/marketplace_spec.rb[1:1]                     | passed  | 0.29511 seconds |
./spec/models/spree/stock_location_decorator_spec.rb[1:1]                       | passed  | 0.01806 seconds |
./spec/models/spree/stock_location_decorator_spec.rb[1:2:1:1:1]                 | pending | 0.00001 seconds |
./spec/models/spree/stock_location_decorator_spec.rb[1:2:1:2:1]                 | pending | 0 seconds       |
./spec/models/spree/stock_location_decorator_spec.rb[1:2:2:1]                   | passed  | 0.074 seconds   |
./spec/models/spree/supplier_spec.rb[1:1]                                       | passed  | 0.0015 seconds  |
./spec/models/spree/supplier_spec.rb[1:2]                                       | passed  | 0.0025 seconds  |
./spec/models/spree/supplier_spec.rb[1:3]                                       | passed  | 0.00197 seconds |
./spec/models/spree/supplier_spec.rb[1:4]                                       | passed  | 0.00542 seconds |
./spec/models/spree/supplier_spec.rb[1:5]                                       | passed  | 0.00236 seconds |
./spec/models/spree/supplier_spec.rb[1:6:1]                                     | passed  | 0.01746 seconds |
./spec/models/spree/supplier_spec.rb[1:7:1:1]                                   | passed  | 0.00174 seconds |
./spec/models/spree/supplier_spec.rb[1:7:2:1]                                   | passed  | 0.00149 seconds |
./spec/models/spree/supplier_spec.rb[1:8:1]                                     | passed  | 0.01921 seconds |
./spec/models/spree/supplier_spec.rb[1:9:1]                                     | passed  | 0.25021 seconds |
./spec/models/spree/supplier_variant_spec.rb[1:1]                               | pending | 0 seconds       |
./spec/models/spree/user_decorator_spec.rb[1:1]                                 | passed  | 0.0017 seconds  |
./spec/models/spree/user_decorator_spec.rb[1:2]                                 | passed  | 0.00205 seconds |
./spec/models/spree/user_decorator_spec.rb[1:3:1]                               | passed  | 0.00708 seconds |
./spec/models/spree/user_decorator_spec.rb[1:3:2]                               | passed  | 0.00232 seconds |
./spec/models/spree/user_decorator_spec.rb[1:4:1]                               | passed  | 0.00302 seconds |
./spec/models/spree/user_decorator_spec.rb[1:4:2]                               | passed  | 0.00243 seconds |
./spec/models/spree/user_decorator_spec.rb[1:5:1]                               | passed  | 0.01025 seconds |
./spec/models/spree/user_decorator_spec.rb[1:5:2]                               | passed  | 0.00216 seconds |
./spec/models/spree/user_decorator_spec.rb[1:6:1]                               | passed  | 0.00202 seconds |
./spec/models/spree/user_decorator_spec.rb[1:6:2]                               | passed  | 0.00281 seconds |
./spec/models/spree/variant_decorator_spec.rb[1:1]                              | pending | 0.00142 seconds |
